category,category_id,subcategory,subcategory_id,amount,year
政策,1,議会費,1_1,510312000,2013
政策,1,総務費,1_2,8759163000,2013
健康福祉,2,民生費,2_1,31870990000,2013
健康福祉,2,衛生費,2_2,8583686000,2013
健康福祉,2,労働費,2_3,780756000,2013
農林水産,3,農林水産業費,3_1,3283726000,2013
経済,4,商工費,4_1,4469633000,2013
街づくり,5,土木費,5_1,11288398000,2013
街づくり,5,災害復旧費,5_2,7000000,2013
治安維持,6,消防費,6_1,2525687000,2013
教育文化,7,教育費,7_1,9077268000,2013
借入返済,8,公債費,8_1,15295655000,2013
その他,9,諸支出金,9_1,348726000,2013
その他,9,予備費,9_2,30000000,2013
